,artist_name,popularity,track_id,track_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
84,5 Seconds of Summer,89,55S2PQgSMYAhgoTCcGCDfw,Youngblood,0.0169,0.596,203418,0.854,0.0,7,0.124,-5.114,0,0.463,120.274,4,0.152
85,Juice WRLD,84,1Knctxx9vGZxpZfF66BIEa,Legends,0.115,0.594,191840,0.798,0.0,4,0.143,-5.244,1,0.0844,142.049,4,0.381
86,Bazzi,87,7uzmGiiJyRfuViKKK3lVmR,Mine,0.0161,0.71,131064,0.789,2.77e-06,4,0.451,-3.874,1,0.0722,142.929,4,0.717
87,Lil Baby,83,5nzhL67GpF9szXWg5y509A,Close Friends (Lil Baby & Gunna),0.044,0.665,203881,0.585,0.0,10,0.0789,-5.077,0,0.366,158.953,4,0.658
88,Trippie Redd,83,6yz0Jndhv0QjKdpcEMbOjz,Shake It Up,0.128,0.776,116681,0.608,0.0,10,0.0932,-6.478,0,0.104,156.025,4,0.402
89,Khalid,83,2OpBganfGk2GVdSlRdxzaX,Better,0.102,0.695,229320,0.586,0.317,0,0.113,-10.315,0,0.0658,98.035,4,0.112
90,Sia,91,5a8RPWgKSmcGBGcffmIrUi,"Thunderclouds (with Sia, Diplo & Labrinth)",0.0085,0.691,187027,0.716,9.06e-06,7,0.263,-5.985,1,0.0351,112.035,4,0.507
91,Lady Gaga,89,6QfS2wq5sSC1xAJCQsTSlj,Shallow - Radio Edit,0.416,0.575,217213,0.33,0.0,7,0.0872,-6.557,1,0.031,95.801,4,0.277
92,Famous Dex,83,5PTG6rrL6EPFD9E2QMI2pl,JAPAN,0.121,0.733,142000,0.678,0.0,6,0.344,-7.771,1,0.438,175.985,4,0.841
93,Drake,84,3qN5qMTKyEEmiTZD38BNTT,I'm Upset,0.279,0.899,214467,0.586,0.0,11,0.0836,-7.866,0,0.344,150.001,4,0.492
94,Post Malone,84,6IaieqiCVvsNvEt6Y7yOFa,Ball For Me (feat. Nicki Minaj),0.493,0.792,206267,0.56,0.0,9,0.0849,-4.125,1,0.225,134.044,4,0.505
95,6ix9ine,94,7ATATJztoWLcqDAcVVof0C,BEBE,0.172,0.635,217822,0.902,0.0,0,0.125,-3.559,1,0.109,102.063,4,0.286
96,Eminem,86,28FGV3ORH14MYORd7s5dlU,Not Alike (feat. Royce Da 5'9),0.0692,0.904,288087,0.756,0.0,10,0.339,-3.746,1,0.32,140.005,4,0.342
97,Travis Scott,85,2cYqizR4lgvp4Qu6IQ3qGN,BUTTERFLY EFFECT,0.0531,0.763,190557,0.628,0.0,11,0.114,-5.85,1,0.05,140.958,4,0.193
98,Young Thug,83,0kCBorRrKZkSztd9m0QI3r,Chanel (Go Get It) [feat. Gunna & Lil Baby],0.00183,0.938,201707,0.5,0.0,4,0.077,-10.08,0,0.144,140.011,4,0.462
99,Zedd,89,09IStsImFySgyp0pIQdqAc,The Middle,0.171,0.753,184732,0.657,0.0,7,0.112,-3.061,1,0.0449,107.01,4,0.437
100,Eminem,89,2SL6oP2YAEQbqsrkOzRGO4,Venom - Music From The Motion Picture,0.0193,0.749,269554,0.794,0.0,0,0.543,-5.063,1,0.064,135.959,4,0.46
101,Post Malone,85,32lItqlMi4LBhb4k0BaSaC,Candy Paint,0.627,0.67,227533,0.654,1.02e-06,4,0.071,-5.944,1,0.153,180.024,4,0.438
102,Khalid,80,7stcuQtnHL7C6XdPvpwywv,Vertigo,0.552,0.487,270413,0.458,0.0257,4,0.117,-7.761,0,0.0371,115.989,4,0.207
103,Rita Ora,91,6xtcFXSo8H9BZN637BMVKS,Let You Love Me,0.288,0.531,190000,0.854,0.0,10,0.0773,-3.149,1,0.198,94.419,4,0.456
104,Juice WRLD,83,1R0Ig5KYrSGWvIoPzY4T3l,Black & White,0.0802,0.776,186945,0.736,0.0,7,0.159,-4.612,1,0.247,147.946,4,0.233
105,Future,80,2OsDoAzo5SGq10qwmKSQBv,Jet Lag (feat. Young Scooter),0.266,0.81,271067,0.458,0.0,4,0.174,-7.495,0,0.105,125.049,4,0.493
106,Ella Mai,84,6CTWathupIiDs7U4InHnDA,Trip,0.225,0.477,213993,0.61,0.0,11,0.107,-5.628,0,0.144,79.882,4,0.358
107,Tyga,87,55GiOwtxNajXVbpjjIzMnD,SWISH,0.0831,0.884,194936,0.541,0.0,11,0.118,-5.608,1,0.221,105.009,4,0.274
108,Social House,83,2Yer0p7uB2lVBUAtANuuQp,Magic In The Hamptons (feat. Lil Yachty),0.66,0.769,164640,0.479,0.0,1,0.0914,-5.339,1,0.0385,96.051,4,0.803
109,Cardi B,81,2GGMabyHXnJmjY6CXhhB2e,Money,0.00534,0.95,183527,0.59,0.0,8,0.11,-6.508,0,0.29,130.003,4,0.219
110,Trippie Redd,82,4mHgYpuGHu99Mw69E83CP2,Taking A Walk,0.68,0.767,121680,0.538,0.0,0,0.192,-6.044,0,0.052,81.031,4,0.343
111,MadeinTYO,82,6f5i916F3jU6BhOOD7iGqf,Ned Flanders (feat. A$AP Ferg),0.0254,0.936,161013,0.495,0.0,1,0.087,-6.062,1,0.229,139.951,4,0.299
112,Lil Baby,81,2bSk87AVkCIIC3Bcligq1z,Life Goes On,0.0021,0.716,247055,0.541,0.0,1,0.115,-7.909,1,0.149,139.978,4,0.387
113,Playboi Carti,81,2BJSMvOGABRxokHKB0OI8i,Shoota (feat. Lil Uzi Vert),0.191,0.674,153800,0.649,0.0,1,0.122,-8.433,0,0.199,153.069,4,0.48
114,Rae Sremmurd,83,1BuZAIO8WZpavWVbbq3Lci,Powerglide (feat. Juicy J) - From SR3MM,0.0168,0.713,332301,0.831,0.0,1,0.118,-4.75,0,0.15,173.948,4,0.584
115,Lauv,88,2hnxrRNzF74mdDzpQZQukQ,There's No Way (feat. Julia Michaels),0.49,0.755,174861,0.625,0.0,2,0.157,-7.114,1,0.0896,147.02,4,0.374
116,Eminem,86,2XTquzYQAdT1Hk78bOUwsv,Greatest,0.0441,0.809,226938,0.737,0.0,1,0.341,-5.186,1,0.108,80.025,4,0.367
117,Khalid,78,65DzdjRWH35DNsBZBjW523,Motion,0.0982,0.554,235880,0.61,0.0812,0,0.561,-7.229,1,0.0804,80.948,4,0.497
118,Smokepurpp,83,0ibOcbkp2XG46Do8jcy0bL,Nephew (feat. Lil Pump),0.00422,0.792,202963,0.454,0.0,9,0.285,-6.753,1,0.458,161.993,4,0.674
119,Lil Wayne,81,05r1GGg1Rhs0RcUg27C82a,Famous (feat. Reginae Carter),0.0301,0.624,242050,0.568,0.0,9,0.25,-5.664,1,0.143,149.857,4,0.115
120,Luke Combs,81,2rxQMGVafnNaRaXlRMWPde,Beautiful Crazy,0.676,0.552,193200,0.402,0.0,11,0.0928,-7.431,1,0.0262,103.313,4,0.382
121,Kodak Black,82,2uMTscYuCT3BZ0OCzH3MwN,"If I'm Lyin, I'm Flyin",0.1,0.715,130929,0.617,3.62e-06,11,0.186,-5.558,0,0.242,176.108,4,0.289
122,Camila Cabello,89,1rfofaqEpACxVEHIZBJe6W,Havana,0.184,0.765,217307,0.523,3.56e-05,2,0.132,-4.333,1,0.03,104.988,4,0.394
123,Lady Gaga,91,2VxeLyX666F8uXCJ0dZF8B,Shallow,0.371,0.572,215733,0.385,0.0,7,0.231,-6.362,1,0.0308,95.799,4,0.323
124,Future,78,2vs5ubqg8QUbfyWZpMfvWe,Astronauts,0.0402,0.732,169920,0.586,2.66e-06,1,0.121,-7.868,1,0.232,76.48,4,0.73
125,Bebe Rexha,88,04ZTP5KsCypmtCmQg5tH9R,I'm a Mess,0.00281,0.63,195519,0.694,0.0,11,0.0719,-6.257,0,0.0253,97.005,4,0.216
126,Kanye West,83,3qnoOm4fwZPBS116f5hpgF,All Mine,0.125,0.925,145507,0.308,0.0,11,0.0933,-6.562,0,0.338,122.099,4,0.265
127,YNW Melly,81,7eBqSVxrzQZtK2mmgRG6lC,Murder On My Mind,0.145,0.759,268434,0.73,3.06e-06,0,0.11,-7.985,0,0.0516,115.007,4,0.74
128,Migos,83,0wbnC9AUenxp613TYaJsGK,Narcos,0.0146,0.936,255379,0.588,0.0,7,0.139,-6.948,0,0.136,124.987,4,0.238
129,Drake,86,6G8kHiVZ1jW7vHMPVRNZU0,Don’t Matter To Me (with Michael Jackson),0.493,0.826,245787,0.318,0.0131,10,0.11,-12.391,1,0.0574,103.002,4,0.138
130,Lil Wayne,81,5IvdLxVB8gwwcgnEkXSSW2,Dark Side Of The Moon (feat. Nicki Minaj),0.525,0.603,242972,0.457,0.0,11,0.0905,-5.384,1,0.297,73.724,4,0.458
131,Migos,82,2UVbBKQOdFAekPTRsnkzcf,Stir Fry,0.00299,0.815,190288,0.816,0.0,2,0.159,-5.474,1,0.269,181.967,4,0.498
132,Juice WRLD,77,2EhJijFUs0WUmNClDBpYJq,Make It Back,0.122,0.75,102560,0.387,0.0,1,0.0993,-10.123,0,0.487,143.019,4,0.739
133,NAV,82,6nO3tr47nr2P7f3hXb8JIo,Champion (feat. Travis Scott),0.381,0.642,195053,0.782,0.0,5,0.108,-3.395,0,0.0477,162.005,4,0.396
134,Post Malone,83,4H7WNRErSbONkM06blBoGc,Stay,0.414,0.479,204427,0.468,0.0,5,0.148,-5.396,1,0.0274,85.913,4,0.35
135,Travis Scott,82,27a1mYSG5tYg7dmEjWBcmL,CAN'T SAY,0.201,0.702,198408,0.708,0.0,10,0.118,-5.366,0,0.0547,147.98,4,0.713
136,XXXTENTACION,83,01TnVDiet1DFTsyWKUKovl,NUMB,0.1,0.414,186268,0.416,0.179,11,0.131,-8.024,0,0.0251,159.91,4,0.196
137,Florida Georgia Line,81,1co0puPTYvqAdUEjFOjne9,Simple,0.0848,0.375,185200,0.889,0.0,3,0.136,-3.704,1,0.0991,199.669,4,0.881
138,Future,77,4VMiNOpnjRwSCwmHaUfOMM,Realer N Realer,0.0117,0.73,170920,0.465,0.0,1,0.28,-6.29,1,0.278,148.028,4,0.367
139,Ava Max,90,25sgk305KZfyuqVBQIahim,Sweet but Psycho,0.0691,0.719,187436,0.704,0.0,1,0.166,-4.724,1,0.0476,133.002,4,0.628
140,Eminem,85,2gsNpSn7VvvJuSrIDfRoYy,Kamikaze,0.112,0.78,216029,0.808,0.0,2,0.329,-5.175,1,0.484,79.982,4,0.642
141,Trippie Redd,79,3tcnWNjEXyXCbFR9zonrX2,Topanga,0.00587,0.755,215364,0.615,1.75e-06,4,0.109,-8.245,1,0.0454,105.955,4,0.039
142,Future,77,2MfcvcvWSUkstTDZXYIakq,Transformer (feat. Nicki Minaj),0.00151,0.753,196333,0.616,7.1e-06,2,0.291,-7.34,1,0.165,156.83,4,0.287
143,Alesso,89,6jreFSOTUAViWjKyzOC4Kg,REMEDY,0.269,0.601,190295,0.775,0.0,0,0.0883,-4.612,1,0.0473,119.964,4,0.483
144,Lil Wayne,80,2AwyHlbA6f641SEkizD5JG,Dope Niggaz (feat. Snoop Dogg),0.0395,0.752,205983,0.708,0.0,9,0.0601,-5.053,1,0.28,84.974,4,0.645
145,Martin Garrix,89,3nc420PXjTdBV5TN0gCFkS,Ocean (feat. Khalid),0.584,0.506,216420,0.693,9.58e-05,0,0.0891,-7.265,0,0.0412,139.912,4,0.221
146,Khalid,76,7EROK3PMgkCG3wdwcbeauW,9.13,0.975,0.289,55720,0.451,0.942,2,0.222,-15.013,1,0.0538,131.72,3,0.59
147,Khalid,76,0v75ti1d2M6pd0sC42UNNN,Salem's Interlude,0.963,0.479,81933,0.485,0.658,7,0.152,-12.302,0,0.162,80.933,4,0.457
148,Lil Skies,82,0chpIFSjgfd1CPrAxM7PWp,No Rest,0.0186,0.655,135535,0.498,4.47e-06,9,0.139,-13.147,1,0.0479,162.861,4,0.508
149,Lil Skies,82,7ms3VzLTfr7fXNOqA4Mkx9,Creeping (feat. Rich the Kid),0.0108,0.729,179831,0.687,0.0,8,0.162,-8.06,0,0.25,160.085,4,0.683
150,Lil Yachty,80,3m2aDCqn8eT5ElXDUiboGU,Get Dripped (feat. Playboi Carti),0.0987,0.955,158769,0.492,0.0,8,0.417,-8.444,1,0.395,130.062,4,0.904
151,Twenty One Pilots,85,5HeKOKc4phmLn8e4I7EkzD,My Blood,0.0563,0.749,229120,0.723,0.022,1,0.0977,-6.609,1,0.0432,108.999,4,0.674
